"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Variável - Produção (Toneladas)"
"Mês","Unidade da Federação x Produto das lavouras"
"Mês","Rondônia","Acre","Amazonas","Roraima","Pará","Amapá","Tocantins","Maranhão","Piauí","Ceará","Rio Grande do Norte","Paraíba","Pernambuco","Alagoas","Sergipe","Bahia","Minas Gerais","Espírito Santo","Rio de Janeiro","São Paulo","Paraná","Santa Catarina","Rio Grande do Sul","Mato Grosso do Sul","Mato Grosso","Goiás","Distrito Federal"
"Mês","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar"
"maio 2012","-","-","327248","-","742978","-","1799748","3204971","965580","2145497","4273895","6500509","17070054","29500000","3503095","6913209","71091654","4725242","5805313","420628178","52160305","-","1116926","38600100","17161810","56915572","-"
"junho 2012","-","-","327248","-","742628","-","1221286","3204971","965580","2141904","4273895","6500509","17062409","27734681","3503095","6913209","72112135","4654242","5805313","339287429","51769235","-","1116926","38600100","17161810","56915572","-"
"julho 2012","-","-","239380","-","742628","-","1221286","3110181","965580","2143693","4392631","6500509","16432523","27734681","3503095","6913209","72113135","4654242","5805313","339287429","51769235","-","1116926","38600100","16626517","56907702","-"
"agosto 2012","-","-","239380","-","749878","-","1221286","3117146","965580","2143693","4306632","6500509","16251098","27734681","3503095","6913209","72590135","4654242","5805313","339287429","50826299","-","1116926","38600100","16626517","54030642","-"
"setembro 2012","-","-","239380","-","749878","-","1221286","3016644","945520","2143693","4285390","6500509","17302123","27734681","3503095","6836998","72337672","4654542","5694313","339280620","50404099","-","1007247","38600100","16665399","56992982","-"
"outubro 2012","-","-","239541","-","749878","-","1245367","3016644","945520","2117755","4284310","6500509","17302083","27734681","3319381","8494328","72110292","4654542","5692813","339280620","50404099","-","977844","38600100","16665399","56875062","-"
"novembro 2012","-","-","239541","-","750858","-","1250897","3016644","804137","1997005","4284158","5906340","16655848","27734681","3319381","8494328","71808303","4650742","5692813","339280620","50404099","-","977844","38600100","16665399","58261712","-"
"dezembro 2012","-","-","239541","-","750378","-","1250897","3011709","804137","1996789","4267958","5869640","16655848","27734681","3319381","8419822","70521498","4650742","5692869","355392473","49840396","-","981594","38600100","16665399","58348797","-"
"janeiro 2013","-","-","239541","-","846514","-","1896294","2988968","915184","2142029","4355010","7191274","14804999","28141800","3337554","6205399","75537227","4603618","5828098","382879033","56174270","-","1189659","38600100","18271979","59185038","-"
"fevereiro 2013","-","-","239541","-","846514","-","1896294","2988853","915184","2170844","4355010","7191274","14517079","28141800","3337554","6603162","73143166","4520763","5255163","407474900","56174270","-","1184314","40800000","18271979","58348797","-"
"março 2013","-","-","311415","-","936800","-","1896294","2985996","902116","2237254","5521952","6626070","14676049","28141800","3337554","6805773","72544835","4520763","5251766","407474900","52538825","-","1173784","40800000","19755179","58348797","-"
"abril 2013","-","-","304751","-","936800","-","1896294","2985996","902116","2155721","5504625","6626070","14500749","28141800","3337554","6805773","72612096","4505763","5251766","407474900","52538825","-","1173784","44352000","19755179","58662138","-"
"maio 2013","-","-","304751","-","936800","-","1896294","2911890","899438","1821063","5251182","6474564","14500749","28141800","3338118","6731343","72023864","4505763","4967966","407474900","52538825","-","1144731","44352000","19731399","59746606","-"
"junho 2013","-","-","304751","-","936450","-","1896294","2911890","899438","1803915","4068264","6474564","14372054","28875691","3221658","6600000","71918284","3970104","4967966","411301440","50404322","-","1144731","44352000","19731399","59746606","-"
"julho 2013","-","-","302500","-","936450","-","1896294","2995900","899438","1799290","4068222","6474564","14261184","28875691","3221658","6667121","71921229","3970104","4967966","411301440","50404322","-","1140039","44352000","19699574","59746606","-"
"agosto 2013","-","-","302500","-","935970","-","1896294","2995900","892192","1796010","4065416","6474564","14464184","28875691","3221658","6667121","71912059","3970104","4967966","411301440","49849672","-","1140039","44352000","19699574","59746606","-"
"setembro 2013","-","-","302500","-","935970","-","1896294","2995910","892192","1793042","3806726","6104805","15179109","28875691","3221658","7060910","71912059","3970104","4967966","381566010","49185314","-","1140039","44352000","19681574","66930797","-"
"outubro 2013","-","-","302500","-","935970","-","1896294","2996620","892192","1783269","3806600","6104805","15179109","28875691","3221658","7060910","70925061","3968904","4967966","381566010","49185314","-","1130242","40950000","19681574","66930797","-"
"novembro 2013","-","-","302500","-","935970","-","1896294","2982553","756191","1698868","3806558","6104805","15163649","28875691","3087048","7060910","70925061","3968839","4967966","381566010","49185314","-","1130242","40950000","19681574","66930797","-"
"dezembro 2013","-","-","302500","-","935970","-","1841574","2968122","756191","1674733","3806558","6108654","15163649","28875691","3087048","6759779","71264164","3968839","4967966","404679977","49628704","-","1130242","40950000","19681574","69307411","-"
"janeiro 2014","-","-","293146","-","858629","-","2800000","2762090","916144","1696906","3806558","6666405","16058185","28406620","3389730","7096712","77968954","3970646","5056676","400000000","49226784","-","1120122","40950000","21491832","69307411","-"
"fevereiro 2014","-","-","293146","-","858629","-","2800000","2766976","916144","1701391","3806558","6666405","15307637","28406620","3389730","7096712","77369071","3970646","5115976","400000000","49226784","-","1118468","41496041","21491832","69307411","-"
